zipcode,crime_count,license_count,population,poverty,density,alcohol_density,crime_density,poverty_rate,log_alcohol_density,log_crime_density,cbrt_pop_density
92122,4174,14,45988,9927,3301.5,0.0003044272418891885,0.09076280768896233,0.21586065930242673,-8.097078442258372,-2.399505684236485,14.890310953831156
92123,4109,18,32951,3275,1477.4,0.0005462656672028163,0.12470031258535401,0.09939000333829019,-7.512405130587624,-2.081841919600379,11.389361163132989
92124,2164,5,31121,1944,1228.1,0.00016066321776292536,0.06953504064779409,0.06246585906622538,-8.736200199018045,-2.665924471485773,10.70889294751727
92126,4399,22,78111,6058,2602.9,0.0002816504717645402,0.05631729205873692,0.07755629808861748,-8.174843717622148,-2.8767536496317443,13.755799206672485
92127,1954,7,51107,1482,870.3,0.00013696753869332968,0.03823351008668088,0.028997984620502085,-8.895766604056085,-3.264042920508671,9.54749987092692
92128,2716,29,49273,2320,1625.2,0.0005885576279098086,0.05512146611734622,0.047084610232784686,-7.4378357126769705,-2.898216053984858,11.757155743881594
92129,2131,7,52495,3218,1549.1,0.0001333460329555196,0.04059434231831603,0.06130107629298028,-8.922563056893729,-3.2041265738504245,11.57070491406415
92130,2297,14,57363,2570,1193.0,0.000244059759775465,0.04004323344316023,0.044802398758781795,-8.31809744554581,-3.217795572471971,10.605882577922877
92131,1401,11,35227,1155,352.0,0.00031226048201663496,0.039770630482300506,0.032787350611746674,-8.071672840213346,-3.2246265666747083,7.060696670652127
92139,2377,2,34930,2894,3769.6,5.72573718866304e-05,0.06805038648726024,0.0828514171199542,-9.767954157240933,-2.687506870440684,15.563182956324118
92154,7011,9,83758,8119,630.4,0.00010745242245516846,0.08370543709257623,0.09693402421261253,-9.13846239017718,-2.480451344306432,8.574432809342209
92173,4166,4,28609,4656,3838.9,0.00013981614177356776,0.14561851165717082,0.16274598902443288,-8.8751822714997,-1.9267650107986733,15.6579751599297
